tap,value
166,1.5084075281147836e-07
167,1.6232526000926308e-07
168,1.7021004918916578e-07
169,1.7424443956387802e-07
170,1.747318817544068e-07
171,1.7160757731866124e-07
172,1.6545712596328364e-07
173,1.5642740195582562e-07
174,1.451052935633735e-07
175,1.3188503187159052e-07
176,1.1726191149501826e-07
177,1.0180289331068529e-07
178,8.582587425704269e-08
179,6.989487906278557e-08
180,5.42110240330236e-08
181,3.928705507928279e-08
182,2.5327363251388684e-08
183,1.268183634327936e-08
184,1.5348779853463217e-09
185,-8.022869120962697e-09
186,-1.582410880834102e-08
187,-2.193892530768624e-08
188,-2.6250673461829782e-08
189,-2.8916503586372855e-08
190,-2.996874493391467e-08
191,-2.9600334442231658e-08
192,-2.7961865166323713e-08
193,-2.521872376142056e-08
194,-2.160657308154979e-08
195,-1.7281888133241925e-08
196,-1.2529114201973164e-08
197,-7.490376115322967e-09
198,-2.426003623739818e-09
199,2.544567347088224e-09
200,7.237177495123699e-09
201,1.1513459861344672e-08
202,1.5271324591065386e-08
203,1.83684935003329e-08
204,2.0799135336211673e-08
205,2.2469355395485816e-08
206,2.340930978055651e-08
207,2.358615835857017e-08
208,2.30393216505596e-08
209,2.1820232090979422e-08
210,1.9982025545156405e-08
211,1.7628153638861207e-08
212,1.481515590468415e-08
213,1.166631851069054e-08
214,8.25170045636845e-09
215,4.69398935044342e-09
216,1.0739293546856916e-09
217,-2.49882532573233e-09
218,-5.937965687339451e-09
219,-9.172323658942674e-09
220,-1.2117458000926676e-08
221,-1.4740235972793461e-08
222,-1.695937920622666e-08
223,-1.8765272978242146e-08
224,-2.0106998743266715e-08
225,-2.0984090264927643e-08
226,-2.1399729181386027e-08
227,-2.1352109482363145e-08
228,-2.0885364111358024e-08
229,-2.000826628798858e-08
230,-1.8786472668459726e-08
231,-1.725253273449245e-08
232,-1.546289244211479e-08
233,-1.346932926485216e-08
234,-1.1319617949764827e-08
235,-9.073672743056341e-09
236,-6.778823729795733e-09
237,-4.499971561028012e-09
238,-2.286119591193636e-09
239,-2.003128064033252e-10
240,1.7200730675695046e-09
241,3.4326940506194802e-09
242,4.910657067830706e-09
243,6.127424983581353e-09
244,7.062416226428176e-09
245,7.719626642033797e-09
246,8.0871883596839e-09
247,8.177434529176062e-09
248,7.987476381061462e-09
249,7.53590040233507e-09
250,6.842284768574717e-09
251,5.927469652056194e-09
252,4.83302572996397e-09
253,3.583211494807826e-09
254,2.2311512959110404e-09
255,8.127611658982995e-10
